EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
34.72872,18.73811,15.02938,15.21524
30.96472,17.63759,14.10912,14.45791
27.20804,16.69027,13.3336,13.97664
25.13426,15.66582,12.90124,13.39482
23.24246,14.51607,12.55439,12.95651
21.8576,13.65472,12.08953,12.5982
20.93119,12.89814,11.54687,12.50813
19.01236,12.38709,11.37435,12.5432
17.18057,11.93877,10.89425,12.73177
15.31245,11.54734,10.3921,13.21808
14.65904,11.24765,10.42754,13.95955
13.92833,10.84533,10.37378,14.75207
13.17121,10.36825,10.33936,15.58802
12.97635,10.03486,10.31918,16.50643
12.65219,9.776008,10.2715,17.39555
11.46729,9.787107,10.23525,18.36916
9.940373,9.393218,10.44604,19.09821
9.435465,9.194645,10.60643,19.63589
8.393463,9.008307,10.81201,19.83015
7.730239,9.179812,11.11793,19.57996
7.354624,9.372385,11.50709,19.08655
6.591222,9.735032,11.5543,18.46215
5.569711,9.844988,11.31414,17.70216
5.134919,9.681219,11.3019,17.0094
5.305371,9.281203,10.95973,16.31554
5.255159,9.017046,10.37157,15.57546
4.918664,8.850022,9.544909,14.79042
4.298412,8.707107,8.788474,13.97821
3.44312,8.322974,7.901281,13.23788
2.644036,7.652972,6.784971,12.39027
2.759389,7.077339,5.989707,11.62791
2.854925,6.616215,5.383848,11.07052
3.334495,6.33201,4.868035,10.39769
3.875963,6.076644,4.313214,9.855331
4.317096,5.71888,4.111676,9.223671
4.105534,5.266425,3.900897,8.964465
4.037054,4.756334,3.682196,8.8393
4.729577,4.313434,3.351971,8.724284
5.035861,4.108424,3.125162,8.822851
6.082286,4.121335,3.072581,8.912507
7.887532,4.037339,3.015027,9.0157
11.35135,4.020308,3.111127,9.188519
15.99144,4.069904,3.204374,9.60489
22.2206,4.114213,3.421785,10.20523
30.32913,4.024439,3.981877,10.90872
41.5482,3.842839,4.558714,11.81989
57.39781,3.986042,4.991518,12.57261
81.61704,3.897031,5.413264,13.1571
113.3038,3.937707,5.88904,13.78334
154.787,4.010517,6.249565,14.24769
206.4607,4.019297,6.67068,14.55927
275.0725,4.3018,7.353145,14.66756
355.8177,4.766201,7.914678,14.29323
450.0416,5.334132,7.957543,13.63835
554.0459,5.480434,7.836823,12.75669
660.5037,5.611129,7.596401,11.6919
763.2296,5.575222,7.254804,10.53756
864.2911,5.354699,6.876755,9.435337
956.8799,5.141118,6.391492,8.339721
1031.898,4.980422,5.909512,7.099133
1080.723,4.743123,5.215801,6.266062
1106.195,4.339162,4.692554,5.630918
1100.111,4.013505,4.243812,5.115097
1062.296,3.727153,3.842607,4.616572
996.517,3.532262,3.422148,4.25465
906.713,3.231609,3.044442,3.849317
795.9549,2.892911,2.655059,3.507919
674.9606,2.444064,2.448877,3.368033
556.9944,2.151271,2.463024,3.300434
446.693,2.113704,2.239684,3.218985
346.702,2.03278,2.107344,3.04861
265.6448,2.190075,1.98365,2.872211
200.2237,2.198598,2.04377,2.917161
151.4004,2.215906,2.131486,2.917113
115.7418,2.060556,2.420992,2.944793
91.86302,1.952355,2.589581,2.900122
74.3667,1.855039,2.553407,2.869887
63.74794,1.60213,2.469634,2.699073
56.24147,1.598212,2.66752,2.502029
51.03796,1.781485,2.692613,2.370554
47.55177,1.872197,2.777793,2.219723
45.53395,1.863423,2.812614,1.976548
43.0823,1.941905,2.925274,1.775011
40.84527,1.99973,3.005132,1.717191
38.59587,1.775638,3.202307,1.644644
35.47518,1.645483,3.31622,1.783944
32.35783,1.542026,3.317465,1.894093
30.04989,1.472085,3.32098,1.950743
28.54156,1.469166,3.238609,1.885412
26.50611,1.574261,3.334241,1.862024
24.06463,1.453218,3.636645,1.848126
21.99702,1.245595,3.822991,1.690363
19.40947,1.255098,3.992196,1.633912
17.40509,1.259683,3.934186,1.416605
16.03198,1.18994,3.810669,1.2825
14.0304,1.178053,3.789082,1.188192
11.71171,1.307115,3.700252,1.108597
8.973277,1.221994,3.659868,1.263468
8.082124,0.966642,3.485628,1.311624
7.086301,1.096796,3.497837,1.217923
6.950706,1.117002,3.216687,1.170878
6.185293,1.125704,3.173508,1.013305
5.594789,1.077254,3.251989,0.8738682
4.762113,1.244058,3.410608,0.9049988
3.76668,1.50111,3.135458,1.068924
3.342154,1.328904,3.375916,1.290056
2.51744,1.25097,3.523651,1.467385
2.046295,0.9132376,3.38352,1.426371
1.104227,0.8557795,3.279444,1.181682
1.051628,0.9439597,3.196162,0.9628666
1.317783,0.9357398,3.112191,0.8328558
1.211333,0.9458764,2.886871,0.8482086
1.406448,0.7095569,3.216843,0.971457
1.798693,0.7011103,3.538071,1.109962
1.587986,0.5382425,3.822321,1.058235
1.503236,0.6614091,3.922276,0.9684971
1.40524,0.8751463,3.925374,1.15552
0.8484548,0.9892122,3.716501,1.416412
0.02696943,0.8879173,3.433822,1.263863
0.04547786,0.7958997,2.979603,1.19756
0,0.6493513,2.731171,1.273487
0,0.5208965,2.641444,1.175414
0.008528131,0.4902041,2.562402,0.9905644
0.3783427,0.5960146,2.713996,0.9894454
0.7357793,0.8106913,2.762692,1.099722
0.6607769,1.148662,2.815354,0.9548696
0.3031012,1.34352,2.76367,0.8019369
0.1531904,1.338093,2.617681,0.8423209
0.07519477,1.124384,2.666717,0.9736978
0.5104658,0.8792826,2.62764,0.9183067
0.6017055,0.6266981,2.706535,0.5985954
0.62137,0.539616,2.676013,0.4609162
0.3541838,0.5285844,2.544621,0.5045163
0.8905603,0.7509394,2.550288,0.6697971
1.967771,1.040875,2.719229,0.8465895
4.152741,1.330246,2.945664,1.096057
5.755696,1.582644,3.104854,1.297494
7.653821,1.658753,3.088744,1.239617
10.48581,1.780534,2.944507,1.22502
15.20991,1.597194,2.712668,1.276418
24.29355,1.360605,2.558877,1.337726
38.313,1.279218,2.563718,1.376201
63.13152,1.0503,2.583095,1.394285
98.8876,0.8653421,2.603877,1.312259
155.0649,1.179925,2.514011,1.251609
239.5874,1.417074,2.36324,1.377039
358.0933,1.407256,2.162068,1.49427
508.699,1.1901,2.000533,1.675907
