EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
36.52186,27.37043,25.168,30.637
31.59983,25.54456,23.72276,28.48883
28.20555,23.59801,22.71876,26.67044
25.34906,21.77813,21.98851,25.50001
23.23538,20.33377,21.35174,24.34122
20.93957,19.23868,20.79932,23.51491
18.21417,18.63062,20.18052,22.65539
15.4403,18.12465,19.46301,21.42609
12.98746,17.46629,18.64701,20.46793
11.95267,16.64632,18.18277,19.30466
11.40891,15.78972,17.69851,17.87453
9.841163,15.14301,17.25214,16.5087
7.919872,14.67983,16.83903,15.3569
5.911477,14.14433,16.71984,14.43208
3.538109,13.84518,16.73318,13.57868
2.163637,13.38293,16.62264,13.14297
1.467447,12.89353,16.35924,12.80398
1.483395,12.38498,16.04177,12.27956
0.7762638,11.92905,15.45669,11.94106
0.209297,11.76927,14.78804,11.73978
0,11.37565,14.62445,11.46842
0,11.23072,14.27351,11.36757
0,11.27048,14.0625,11.33049
0,11.10001,13.57389,11.20748
0.009283464,11.06003,13.09112,11.29034
0.03498901,10.76493,12.22881,11.42719
0.513912,10.46613,11.91444,11.62235
0.6811901,9.892488,11.63252,0
0.7838674,9.164,11.42375,0
0.3933266,8.77002,7.626246,0
0,8.570113,0,0
0,8.738861,0,0
0,9.141712,0,0
0,2.292001,0,0
0.4896502,0,0,0
0.4377621,0,0,0
0.2346331,0,0,0
0.1803256,0,0,0
0.09139259,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
