EL1: Electronic Ladder,A1: RT,B1: MaP-RT
1106.195,7.48508,8.998449
1100.111,7.715367,8.394237
1062.296,7.211747,7.895359
996.517,6.397295,7.669168
906.713,5.733546,7.57573
795.9549,5.252002,7.340533
674.9606,5.647077,6.739067
556.9944,6.079228,6.273578
446.693,6.223107,5.914581
346.702,5.940881,6.00936
265.6448,5.256717,5.921168
200.2237,5.154529,5.722209
151.4004,5.121316,5.921364
115.7418,5.163439,5.766093
91.86302,4.639745,5.783121
74.3667,4.095775,5.173891
63.74794,3.579117,5.064306
56.24147,2.952088,4.81198
51.03796,2.939477,4.416175
47.55177,3.352116,4.592904
45.53395,3.203737,5.149819
43.0823,2.910692,5.754974
40.84527,2.596216,5.97093
38.59587,2.036254,5.908094
35.47518,1.124739,5.89719
32.35783,0.757991,5.803892
30.04989,0.8353132,5.018062
28.54156,0.9542603,5.158243
26.50611,1.358458,4.704237
24.06463,1.859928,4.306969
21.99702,1.523157,4.019194
19.40947,0.8215043,3.949696
17.40509,0.08471346,4.201537
16.03198,0,4.13211
14.0304,0.0829948,4.056368
11.71171,0.06798171,3.732862
8.973277,0.6269511,3.23785
8.082124,0.7287996,2.618543
7.086301,0.6738058,2.163321
6.950706,0.3094411,2.351678
6.185293,0.002549726,2.927608
5.594789,0.1470013,3.362974
4.762113,0,3.55803
3.76668,0,3.568037
3.342154,0.08557097,3.395275
2.51744,0.2614143,2.823797
2.046295,0.08872688,2.75169
1.104227,0.750021,2.770115
1.051628,1.568315,2.524636
1.317783,1.739108,2.070354
1.211333,1.409423,1.440443
1.406448,1.15838,1.186052
1.798693,1.02701,1.134607
1.587986,0.2414417,1.210076
1.503236,0.1864666,1.064281
1.40524,0.2385597,1.227396
0.8484548,0.2526504,1.277481
0.02696943,0.7045622,1.302891
0.04547786,1.173755,1.377641
0,1.347516,1.475395
0,1.337004,1.42432
0.008528131,1.266536,0.9515762
0.3783427,1.141813,0.7124923
0.7357793,1.083377,0.9280475
0.6607769,1.198936,1.282737
0.3031012,0.760775,1.789793
0.1531904,0.2617301,1.796346
0.07519477,0,1.364347
0.5104658,0.4099544,0.904575
0.6017055,0.8768039,0.409283
0.62137,1.229697,0.4094792
0.3541838,1.495394,0.808566
0.8905603,1.274987,1.412759
1.967771,0.6694273,2.008983
4.152741,0.3772351,2.339986
5.755696,0.364984,2.327238
7.653821,0.6575678,2.177556
10.48581,0.6575587,1.811027
15.20991,0.7804074,1.553544
24.29355,0.897882,1.032161
38.313,0.6107385,0.9931511
63.13152,1.113802,1.128909
98.8876,1.246783,1.185121
155.0649,1.264393,0.8635925
239.5874,1.056439,0.6865377
358.0933,1.034359,0.4493341
508.699,0.8596775,0.1117771
674.1353,0.5850651,0.3581475
856.5067,0.3476233,0.4609925
1040.548,0.3232803,0.6906963
1203.43,0.5025803,0.9260409
1332.576,0.938951,1.017616
1403.335,1.401709,1.027992
1403.358,1.181839,0.9067791
1340.25,0.6687924,1.033216
1227.441,0.2702156,0.8702232
1089.867,0.3285198,0.9765958
941.1884,0.9017889,1.396321
795.4849,1.436599,1.434155
653.4949,1.537819,1.568566
525.0286,1.327579,1.678526
410.4384,0.6688877,1.767276
309.8818,0.3258816,1.393332
233.8028,0.3081757,0.7291645
178.8429,0.1176577,0.2779723
139.7781,0.3450275,0.05439965
112.5669,0.7844632,0.03620328
92.67191,1.309622,0.5444818
76.92639,1.310098,1.380327
64.35856,1.567454,1.523274
54.64034,1.504626,1.333146
47.71083,1.123131,1.336013
41.61587,1.024008,1.365395
37.00911,1.048923,0.9158421
33.60212,0.8127787,1.062633
31.29087,0.3651032,1.538301
28.29332,0.4488423,1.860286
25.92593,0.3080942,1.766383
23.71667,0.9108899,2.102241
20.94135,1.178328,1.902791
18.84369,1.463821,1.531309
16.51134,1.712402,1.633545
13.11796,1.312415,1.851665
9.823904,0.9143271,1.874788
8.270146,0.5919787,1.517877
6.773168,0.7508031,1.384936
5.323789,0.8162988,0.6678246
4.236238,0.7792374,0.9020624
3.312989,0.9134778,1.23872
1.97845,0.7348518,1.461294
1.495029,0.4296035,1.545416
1.8524,0.2806942,1.416353
2.785835,0.03688922,1.18715
3.546025,0.6493562,0.828364
3.609609,1.276512,0.9433117
4.260798,1.372742,0.791281
3.210544,1.689351,0.4559331
2.841228,1.860632,0.3297769
2.910125,1.646907,0.3924346
3.542055,0.8789176,0.4053364
2.684864,1.376035,0.4780632
2.182441,1.52794,0.7061213
2.157324,1.379123,0.9282559
2.095801,1.305781,0.890067
3.892096,1.586713,0.8237695
4.321333,1.807581,0.7151921
4.743145,1.274057,0.9739805
4.615432,1.714919,1.332167
4.786418,1.676991,1.781707
5.024575,1.693678,2.359006
5.795376,1.685744,2.308253
7.359511,1.618693,2.200566
8.536392,1.8407,1.570247
10.39374,1.326152,1.004129
12.49841,0.7582256,0.7430832
14.59801,0.3765324,0.7535098
16.7569,0.08205819,0.6053693
19.67417,0.332852,0.4498814
22.78531,0.6847466,0.8028589
25.86732,1.041961,1.200863
29.88084,1.02084,1.161595
34.07059,0.4925565,1.324219
40.24644,0.6426491,1.726548
56.57711,0.6372508,1.594858
99.96732,0.9743259,1.439964
185.5953,1.195707,1.286905
337.3579,1.387449,1.141283
563.7971,1.312567,0.5760818
857.8473,0.9234368,0.8595625
1196.414,1.157832,1.016892
1506.576,1.578982,0.9815423
1724.089,1.996002,0.9672276
1812.85,1.998825,0.8636434
1736.231,1.71044,0.7924845
1555.356,1.462198,0.7220603
1319.245,1.265075,1.081491
1093.532,1.36309,1.070925
907.9473,1.738988,1.030204
761.3301,2.129531,0.7731032
632.8445,2.24518,0.7781895
511.0775,2.308267,1.058535
391.9848,2.998132,0.9002692
285.6815,3.529767,0.6100436
206.3894,3.924086,0.2572073
157.1447,4.147444,0.3771357
123.0028,4.110608,0.2782992
99.66931,3.33896,0.5353907
83.71205,2.992137,1.009867
71.55122,2.583977,0.9533296
61.46841,2.148486,0.6345512
53.63789,1.77968,0.7835886
48.00217,1.521262,0.8571749
43.18986,1.629504,0.5834722
39.22708,1.683288,0.6567174
37.02771,1.935565,0.6486849
34.99467,2.235777,0.6116863
32.81627,2.486978,0.6930659
31.43509,2.752361,0.779723
30.21006,2.789486,0.5946538
29.1421,2.582905,0.1643127
28.42714,2.091985,0.3533325
28.72803,1.804967,0.2870981
29.34778,1.785294,0.5596052
30.60834,2.108443,1.054715
32.2585,2.468439,1.228257
33.72453,2.760701,1.312067
35.69179,2.629456,0.9855688
38.13317,2.480082,0.8277432
40.17766,2.656952,0.7648479
42.61868,2.456239,0.4957851
46.80581,2.360895,0.6446124
51.88498,2.313618,0.8421178
56.43817,2.122769,1.250187
64.96409,2.187055,1.374744
88.50138,2.565969,1.479058
147.4116,2.439635,1.038763
284.4095,1.843346,1.088135
524.7689,1.974943,1.175479
858.2202,2.054169,0.8865916
1266.01,1.826571,0.7953213
1664.627,2.169658,0.8404476
1934.309,2.940591,0.7944115
2024.644,3.577153,0.5531735
1909.334,3.863763,1.157842
1659.76,4.055088,1.743266
1363.391,4.00907,1.981282
1113.131,3.688138,2.286013
921.2756,3.464168,2.554149
758.2881,3.686884,2.754003
607.8774,4.257256,2.856436
461.6108,4.67651,2.959479
328.4037,4.399035,2.73869
232.9389,3.715639,2.306746
