A1: Ladder,A2: PTREseq_DNA_UTR,B2: PTREseq_RNA_UTR,C2: ABAB_DNA_UTR,D2: ABAB_RNA_UTR,E2: PTREseq_DNA_FULL,F2: PTREseq_RNA_FULL,G2: ABAB_DNA_FULL,H2: ABAB_RNA_FULL
0,0.9224862,1.568399,6.758041,0.5254534,2.795504,1.441373,1.459774,0.0384626
0,1.168128,1.538572,5.781455,0.7150228,2.659843,1.675278,1.10391,0
0,1.059656,1.265242,2.691938,0.9078442,2.352416,1.801778,0.8376346,0.006202105
0.1373826,0.9724355,0.9398335,2.810665,0.7166899,2.231754,1.512413,0.6746708,0.04478846
0.7626292,0.9934956,0.670826,3.545399,0.8150502,2.503535,1.275281,0.6589282,0.1152428
1.14271,1.027984,0.8947844,5.743216,0.8763334,2.604007,1.057933,0.8800958,0.2435708
1.380622,0.977504,0.9040855,7.023975,0.7547458,2.688204,0.8987021,0.9873278,0.3604346
1.849665,0.9434016,1.064977,4.680649,0.9475418,2.839087,0.7254043,1.042221,0.4315524
2.623227,0.7945503,1.210704,2.802179,1.159468,2.996716,0.4770546,0.9968804,0.591553
3.249882,0.5511181,1.064455,0.01588509,1.376491,3.359699,0.6751955,1.243454,0.7613847
4.416774,0.5440867,1.055114,0.3699508,1.127802,3.287606,0.8182511,1.530577,0.812139
6.734332,0.7585056,1.107345,1.450786,0.9607213,3.472906,0.9627905,1.452849,0.8510901
11.50891,0.8933607,1.132993,3.674559,0.5868681,3.541768,1.178985,1.406704,0.9052927
20.92683,0.9172077,0.983646,4.875264,0.5271316,3.74427,1.376998,1.137795,0.6874485
41.21951,0.9139677,0.8123245,4.389232,0.6874856,4.189511,1.340574,0.4924381,0.5800663
72.88338,0.6154796,0.5633944,4.78141,0.5738445,4.689841,1.128144,0.3183646,0.521677
115.6775,0.3900783,0.1830139,3.836703,0.4458376,5.466725,1.267506,0.08460879,0.4906006
174.468,0.8268284,0.02025777,4.044023,0.23163,5.570382,1.333493,0.1255251,0.3693547
243.1029,0.718318,0.192137,4.558567,0.401513,4.949759,1.122741,0.2089273,0.1279508
321.532,0.8336024,0.3030186,4.972351,0.401235,4.731844,0.9569049,0.6391522,0.09523972
411.1029,0.7607911,0.4840885,5.021486,0.7715536,4.653185,0.8988944,0.9442613,0.1920148
500.0696,0.9317527,0.6180553,5.475224,1.234081,4.719679,0.7875529,1.027649,0.3281838
582.2147,0.9295939,0.7191609,5.822155,1.478119,4.57036,0.6005632,1.195209,0.5114636
643.7781,0.7249354,0.5737676,5.9548,1.49876,4.291484,0.7048131,1.250261,0.6130739
677.6738,0.8472373,0.5780574,7.147014,1.501694,3.988312,0.6649131,0.9354755,0.698052
679.8692,0.4094313,0.697534,7.783165,1.375817,3.056528,0.5322999,0.6928574,0.5339271
647.9813,0.2117721,0.6706266,7.931087,1.120421,2.647594,0.8242364,1.04831,0.3976842
593.2126,0.01824259,0.6804203,6.250597,0.7342596,2.299277,1.154949,1.339099,0.4832603
523.223,0.194548,0.6305798,7.306118,0.4685596,2.141203,1.567352,1.725372,0.6970913
446.2354,0.4728652,0.7243115,7.382739,0.1990654,1.677837,1.613278,1.776647,0.7525707
372.8368,0.5135916,0.7247349,7.136975,0.0877675,1.581789,1.53853,1.524742,0.8049194
304.9438,0.5239453,0.9543245,6.48165,0.1646652,1.674229,1.346719,1.1326,0.8634351
247.5634,0.5261901,1.138352,8.925051,0.1020759,1.927319,1.338176,0.9078597,0.7261056
200.5479,0.4206961,1.179911,8.299292,0.1071249,2.067538,1.885097,0.7256988,0.4767116
161.721,0.3362852,1.150665,8.176321,0.008228135,2.102418,2.787247,1.050022,0.3863828
131.7679,0.155522,0.9723843,10.44592,0.4041516,2.16552,3.817458,1.188287,0.3480867
109.3928,0.2468986,0.7683342,11.39755,0.5430118,2.193814,4.754377,1.020144,0.3738028
91.86244,0.3831736,0.5247629,8.670496,0.8383303,2.427448,5.293271,0.6992758,0.4674969
77.6566,0.3022224,0.4914712,7.790646,1.0317,2.697011,5.426395,0.6129729,0.5805002
66.48618,0.5994284,0.5610407,10.14481,1.054231,2.974757,5.220985,0.7316347,0.811914
56.86136,0.5649254,0.7847893,9.170867,1.012643,3.192153,4.740462,0.6840187,1.098666
49.82281,0.5587785,0.7916701,8.307681,0.6506205,3.128839,4.009835,0.7881474,1.242649
43.67353,0.275951,0.9324937,8.787639,0.6343361,3.257836,3.16657,0.7371001,1.217806
38.95874,0.3049504,0.9244543,8.815561,0.5302989,3.411053,2.424393,0.4446753,1.141662
35.23093,0.3933071,0.7569011,7.098532,0.4995188,3.524882,2.035024,0.1265957,0.9940642
32.08392,0.5459545,0.7082109,8.583922,0.389246,3.626031,1.947185,0.1936137,0.7924956
29.39961,1.098606,0.4394636,10.52102,0.4412601,3.473679,1.751433,0.5736579,0.7190832
26.71946,1.377363,0.2758583,11.97864,0.4036121,3.221892,1.341759,0.8851048,0.8226475
24.46036,1.560472,0,9.955463,0.2773201,2.861387,0.8291218,1.041466,0.8669881
22.62708,1.320061,0.08542044,9.395667,0.3112654,2.649109,0.5635683,1.289191,0.843627
20.99542,1.002251,0.1908996,7.293666,0.4584374,2.669116,0.5445067,1.119424,0.9447866
19.40021,0.5849243,0.2586112,4.911874,0.410104,2.771647,0.6759885,1.165056,1.100427
17.90622,0.230429,0.3405358,5.133841,0.3463534,2.958084,0.9040431,1.080684,1.055038
16.73358,0.2026522,0.4921834,5.781348,0.3498981,3.117086,1.090287,1.188967,0.9480061
15.5899,0.2237188,0.4401758,6.82369,0.4552428,2.994222,0.6939459,0.9906752,0.8935173
14.37357,0.3223037,0.3608311,4.881125,0.5300449,3.129143,0.3820616,0.7294232,0.9552741
13.19965,0.2307994,0.3226765,6.446898,0.568141,3.061005,0.1823247,0.7900543,0.8939885
12.15604,0.190585,0.3586128,3.730812,0.4063546,2.723173,0.1971137,0.532019,0.8951214
11.1116,0.197717,0.4568892,2.685409,0.3044239,2.683004,0.4383719,0.4863067,0.8984692
9.994065,0.3740498,0.4049272,4.142134,0.1822482,2.224367,0.6745393,0.624175,0.8521927
9.015002,0.2854754,0.4518968,7.251655,0.008451236,2.098615,1.02753,0.9529303,0.772799
8.432337,0.5576737,0.4629368,8.61906,0.06276187,1.746868,1.015992,0.9174385,0.7633494
7.907222,0.8473043,0.4314533,9.074162,0.1110666,1.609625,0.9030849,0.9623103,0.9303798
7.559632,0.6094306,0.6186841,8.764672,0.04812068,1.405853,0.689173,0.7845513,0.9338109
7.285131,0.5830563,0.6720929,7.395176,0,1.181356,0.5715494,0.519295,0.8747098
7.075709,0.6083759,0.8061599,6.190969,0.03837205,1.173884,0.5970092,0.3090117,0.7695978
6.736193,0.4873872,0.7266384,7.374233,0.231596,1.096186,0.5079434,0.3579506,0.7024976
6.261794,0.3201279,0.4411063,8.830539,0.4616205,1.181146,0.5552877,0.642136,0.7744051
5.409272,0.01289804,0.1893826,9.861928,0.644246,1.039555,0.7428318,0.5943344,0.7624815
4.970174,0.5165641,0.2028455,9.462532,0.4910539,0.9242501,0.9181911,0.7990627,0.7564205
4.794333,0.7935643,0.3232978,7.066088,0.1809119,0.9215381,0.8668311,1.007905,0.6719683
4.831457,1.350019,0.2430914,6.963711,0.1500463,0.8834478,0.9582746,0.9665276,0.5522467
4.795737,2.022394,0.1910401,6.289689,0.08503667,0.9968671,0.8543839,1.033427,0.5879545
4.797261,2.375018,0.2136255,6.682796,0.2364444,1.161648,0.8237157,0.9551643,0.4738258
4.960579,2.727957,0.1822758,6.660176,0.4092416,1.234851,0.5025482,0.8805556,0.3911646
4.860769,2.770937,0.2231019,6.671785,0.5772009,1.162889,0.4409432,0.3389342,0.551028
4.647154,3.099122,0.4700458,6.730416,0.6086046,1.077552,0.4885706,0.04218721,0.645707
4.6127,3.115984,0.354429,6.557106,0.5996178,1.001113,0.4860553,0.04793499,0.7509004
5.270532,3.262922,0.1017051,6.252034,0.6147126,0.9827762,0.8443828,0.1021291,0.7542254
5.851603,3.396037,0.05872964,6.095419,0.4042388,0.9587591,0.9692972,0.5801095,0.9442268
6.743559,3.507776,0,6.281343,0.4114478,0.9746896,1.133873,0.7811891,0.8411307
7.711631,3.69937,0,8.71465,0.4002593,0.9501634,1.11153,0.8091304,0.8373945
8.597191,4.055439,0.008531889,9.118285,0.07473878,1.043167,1.060522,1.0107,0.8927922
9.646767,4.237092,0.1356255,10.43004,0.0002585162,1.083799,0.9485263,1.123769,0.9865621
11.0108,4.113266,0.1314442,12.79961,0.01779778,0.9476545,1.053616,1.208435,0.9617014
12.66599,3.984968,0.1376798,13.62153,0.1492909,0.9904001,1.286976,1.215732,0.8272679
16.12734,3.883093,0.3333686,11.49642,0.2095412,1.004092,1.358306,1.433811,0.71698
21.3858,4.044572,0.4050619,10.45856,0.2289501,0.9487502,1.178865,1.144414,0.8217549
33.24135,4.265697,0.4526332,6.474168,0.3744183,0.9178525,1.224747,0.722918,0.9532397
54.93554,4.410164,0.2995841,2.985513,0.1663907,0.9777657,1.307967,0.7222117,1.032077
91.99306,4.787284,0.183572,1.739273,0.00307814,1.016719,1.297043,0.7168701,1.022275
146.6333,5.228403,0.01137391,5.288869,0.04100804,0.98427,1.355728,1.097053,1.170119
217.8714,5.435706,0,8.922537,0.07575998,1.060181,1.330716,1.393996,1.116659
307.9745,5.458314,0,10.95644,0.2517182,1.279021,1.431487,1.601865,0.9756773
411.9582,5.415355,0.0797435,13.47845,0.3515128,1.289329,1.47729,1.614306,0.9522974
524.8821,5.44511,0.1961953,10.70319,0.3963989,1.196045,1.456829,1.467777,1.119466
635.0026,5.529975,0.2935492,9.646242,0.3262753,1.196598,1.557387,1.481597,1.086254
722.2279,6.040707,0.398426,9.402813,0.2489529,1.138344,1.523463,1.3319,0.8974267
775.9335,6.290966,0.4070964,9.736621,0.1315896,1.158149,1.31984,1.219354,0.7847891
770.4968,6.358874,0.4146555,8.815235,0,1.287693,0.9238697,1.31654,0.8099765
721.2141,6.253345,0.3474046,7.081184,0.01397937,1.395977,0.8524215,1.348842,0.7135341
641.2373,5.825829,0.3502065,6.4111,0.004298469,1.56082,0.9056982,1.182932,0.6694704
543.9982,5.41564,0.0540782,6.408443,0,1.63306,1.154839,1.285284,0.8827597
450.176,5.397658,0,7.195432,0,1.62529,1.416015,1.378954,1.201407
364.5229,4.996195,0,12.09839,0,1.517057,1.780574,1.367162,1.278165
294.1402,4.333456,0,14.44455,0,1.417819,2.316631,1.40201,1.223721
233.4832,3.834885,0.02257224,16.76038,0,1.274899,2.816825,1.397011,1.310192
183.7265,3.570388,0.005248046,15.74545,0.1213725,1.065686,3.757982,1.308184,1.362053
145.9221,3.496687,0.1929442,15.27058,0.1213613,0.9253815,4.826059,1.187601,1.467594
117.8729,3.393625,0.05766287,12.40231,0.2146061,0.9956614,5.731412,0.8244023,1.673207
96.01834,3.518246,0,10.02866,0.2060878,1.05421,6.463447,0.7956543,1.916654
79.97257,3.487205,0,10.24729,0.1596118,0.9024174,6.845488,0.7068214,1.952226
68.26672,3.611142,0,8.454979,0.02387905,0.9188035,7.018987,0.5933001,1.842076
58.97773,3.623139,0,9.208398,0,0.86757,7.200644,0.7913063,1.79063
51.98777,3.423756,0,9.146827,0,0.7814325,8.111601,1.20409,1.908059
46.65301,3.305614,0,9.179422,0,0.8517202,9.338005,1.421641,2.12587
42.41829,3.138029,0.008044992,9.317688,0.006019876,0.8284704,10.9361,1.307702,2.451933
38.74874,2.82582,0.2689324,11.46526,0.01360492,0.8920528,12.74396,1.408201,2.710635
36.00034,2.981666,0.3060965,12.61271,0.128517,0.8023547,14.60343,1.51268,2.786159
33.55535,3.017626,0.242424,12.69605,0,0.7873972,16.02578,1.311141,2.672369
31.61447,2.814084,0.3048545,13.68206,0,0.7036912,17.49495,1.144916,2.470432
29.87079,2.730732,0.06754462,13.83258,0,0.5428177,19.98075,1.343307,2.548968
28.88422,2.66519,0,11.27967,0,0.5732054,25.60407,1.331944,2.446017
27.96389,2.825034,0,12.01806,0,0.4974212,36.18309,1.30988,2.450557
27.7617,3.048033,0,12.85021,0,0.4592825,49.74339,1.465004,2.815113
28.00921,3.437099,0.5981261,11.71179,0,0.3301506,63.68585,1.456748,3.09517
28.30089,3.725054,1.441249,12.19234,0,0.1582432,73.38925,1.20715,3.247693
28.4451,3.578206,2.083043,13.20115,0.07817194,0.2735463,76.51942,0.9182742,3.216707
28.64742,3.655347,2.560318,16.28752,0.4887492,0.1976928,70.45942,0.7355552,3.245488
29.3169,3.903023,3.467457,18.76187,0.9357343,0.3921696,58.98231,0.8112748,3.192161
30.20591,4.926798,5.163335,22.7161,1.390749,0.6379445,47.14623,1.031178,3.142201
32.50661,6.639882,9.352384,23.56691,1.631554,0.7617792,36.42398,1.614339,3.28687
37.22619,8.827487,17.14132,21.32844,1.741631,0.8229865,28.57487,2.041797,3.448784
45.28929,11.10065,32.28625,17.29112,1.955388,0.6690927,22.69195,2.162585,3.450953
58.76555,12.92165,55.80442,12.08982,2.358899,0.5276137,19.17308,2.159414,3.286053
83.49293,13.90585,77.23864,10.0421,2.895156,0.3057698,16.47672,1.793678,3.215427
122.6826,14.04845,89.72212,9.885735,3.844643,0.1670073,13.89378,1.555349,3.375886
179.8159,13.69311,88.6581,11.23384,4.910172,0.115079,12.05491,1.324419,3.357844
261.1263,12.78539,76.84993,11.28403,6.072776,0,10.16305,1.390545,3.372308
368.034,11.23521,57.85964,9.136374,7.095426,0,8.593554,1.363858,3.474738
493.3798,9.457132,40.25547,7.226322,8.723896,0,7.107274,1.469005,3.465663
628.9748,8.088204,29.68818,3.889076,10.9264,0.09651849,5.857749,1.276217,3.450014
733.8402,6.40309,22.88907,1.953487,13.64283,0.02646207,4.983617,1.044541,3.230751
797.9814,5.02877,17.71465,1.816047,17.00635,0.03597835,4.30709,0.9592482,3.162215
803.7256,3.918899,13.57736,2.993628,21.53515,0,3.806231,0.781221,3.01337
751.4897,3.29934,10.79056,3.65977,27.01902,0,3.125322,0.7144986,2.850106
662.6182,2.846483,9.093068,3.282692,34.08261,0,2.511612,0.6437479,2.617324
555.7958,2.597286,8.403368,7.269677,42.6074,0,2.124438,0.7329529,2.547771
455.1477,2.82972,8.975293,7.03582,51.73886,0.007452996,2.0975,0.6994562,2.543841
361.2342,2.849393,11.60687,5.528889,55.29512,0.003373693,2.123929,0.3978881,2.311247
280.8873,2.864608,17.48253,3.552821,81.56165,0,1.997652,0.1040914,2.144723
217.8617,3.027017,26.87055,1.231045,176.2153,0,1.596596,0,2.157624
169.2452,3.838662,39.40195,0,335.6094,0,1.39496,0,1.989638
133.5923,5.14422,53.53335,0,533.9095,0,1.289439,0,1.819225
108.4136,6.274398,65.93882,2.265983,729.0261,0,1.114384,0,1.58794
88.78684,7.44769,74.29504,1.0531,884.6395,0,0.9278656,0.1221112,1.294764
74.63092,8.157193,77.55767,0.3353417,959.7897,0.04320427,0.8180125,0.05684127,0.6727844
63.20706,8.362261,74.87189,1.073928,966.1663,0.01684514,0.4909495,0.01766672,0.1787997
54.66585,7.493846,67.5868,1.02361,944.7928,0,0.2405521,0.009475195,0.05318499
47.79761,6.593171,57.67357,0.2554598,901.306,0,0.0039623,0.01539719,0.0003274983
43.06178,5.968598,47.65945,0.1376016,831.4397,0.05262953,0,0,0.007411759
38.00587,5.444027,38.37524,0.2053848,737.5371,0.04272458,0,0,0.08165239
33.92907,5.16535,31.3803,0.2676286,633.2069,0.06649678,0,0.02728941,0.0137196
30.90941,5.340572,27.28096,0.0211827,525.2642,0.131231,0,0.002872569,0.01577495
28.72529,5.916737,26.43005,0.05970801,422.4453,0.1497271,0,0.03447572,0.018047
27.24453,6.733171,31.46683,0.2008015,333.0841,0.05697138,0,0.0490616,0.0480633
25.31788,7.707172,40.73807,0.004668741,258.558,0.01190939,0,0,0.09620469
23.5363,8.518585,53.32152,0,199.5294,0.1010148,0,0,0
22.49137,9.049797,66.66295,0,151.5942,0.09229235,0,0.01138509,0
22.16413,8.5593,78.06487,0,114.5229,0.007129744,0,0.0007718705,0
22.85159,7.389685,84.45421,0,85.91764,0.005754807,0,0,0.0426151
24.13559,6.08679,84.14367,0,65.26414,0.006277858,0,0,0.1908355
25.77931,4.659308,78.94038,0,51.19662,0.0006489471,0,0.004591567,0.1709291
27.50904,3.543774,69.72684,0,41.87255,0.01205567,0,0,0.09206368
29.8339,2.52582,58.29747,0,35.8829,0,0,0.0138941,0.05461064
33.33855,1.939162,46.85839,0,32.23497,0.03687304,0,0.3186103,0.07886074
39.46876,1.401928,36.57496,0,29.8867,0,0,0.3674565,0.3841661
49.10183,0.8732979,28.10092,0,28.37536,0.03656793,0.9320546,0.2257492,0.68707
62.81662,0.6432291,21.29521,2.268211,28.18667,0.0697106,3.311032,0.07904035,0.8292836
83.91685,0.354254,15.86568,17.20553,28.0584,0.1183124,6.635582,0.02587545,0.9305197
112.2895,0.1316821,12.1215,39.90975,27.74991,0.09510552,10.77443,0,1.14121
158.7351,0.01443213,9.481026,70.16939,27.06095,0.01275889,15.21922,0,1.249325
224.0566,0,7.945859,109.0528,26.00241,0.1018815,19.36761,0,1.442029
311.637,0,7.591559,158.1423,24.9938,0.209788,22.34682,0,1.773537
427.443,0,7.804655,215.4833,23.26778,0.4712453,23.89182,0.001501998,2.093148
553.9676,0,8.531424,277.6474,21.74821,0.7066669,23.79155,0.1587592,2.34145
669.1265,0,9.258173,391.3643,20.28848,0.8598506,21.64143,0.2948887,2.634116
747.2634,0,10.17082,601.6191,18.69596,0.904901,17.99567,0.3025644,3.111976
771.0931,0.05924316,10.81073,957.8503,17.21828,0.8904293,13.60832,0.4245964,3.389128
744.338,0.7629921,11.59934,1489.807,15.59612,0.9939319,9.19793,0.4942267,3.450186
668.2333,2.087536,12.80166,2287.888,14.40585,1.157089,5.822984,0.6767528,3.74319
566.2884,3.783758,14.69518,3500.881,13.22699,1.356092,3.615351,1.025787,4.071823
461.624,6.037338,17.49633,5137.415,12.57953,1.550276,1.963586,1.549865,4.342131
361.4118,9.306276,22.08,7282.559,12.22655,1.661122,0.9666033,1.800116,4.621869
280.3488,13.19442,27.63451,9640.038,11.97044,1.6996,0.3686052,2.022492,4.92418
213.6667,17.44053,34.5664,11702.91,11.68461,1.667847,0.1035668,2.284268,5.336774
165.4428,21.56482,43.06435,12930.73,11.22234,1.57823,0.1515913,2.571083,5.596347
131.3567,26.83503,52.03907,13158.75,10.93889,1.728956,0.5403434,2.753573,5.886406
104.9874,33.24446,60.02684,12253.78,10.30766,1.804839,0.7163626,3.118727,6.344925
86.59618,42.64416,67.02272,10643.11,9.982391,1.897075,1.153296,3.484853,6.667861
72.79369,58.76793,75.8589,8719.143,10.11208,2.06267,1.575727,4.14846,6.923341
63.11004,80.98576,88.87824,6873.456,10.72525,2.136983,1.899064,4.082958,7.063889
56.3499,111.6752,110.7359,5259.067,11.26776,2.103098,1.989012,4.078887,7.216165
51.60591,150.3947,144.9437,3981.321,11.52356,2.104259,2.211997,3.970514,7.498524
48.569,194.957,192.4197,3040.566,11.78515,2.085572,2.578964,3.789062,7.532719
47.29452,242.851,252.6262,2357.1,11.53549,2.251684,3.441797,3.862115,7.63636
47.41397,287.3453,318.3275,1921.245,11.70829,2.36925,5.531031,4.193603,7.826869
48.05441,323.7284,383.2799,1606.359,14.97358,2.646418,8.910304,4.710158,7.88685
49.39485,343.3074,430.4473,1363.591,22.85381,2.915034,13.22983,5.006347,8.067633
51.47174,343.5247,454.7822,1164.386,37.86819,2.995312,18.72829,5.323915,8.298933
54.92907,324.2133,450.8192,992.4203,55.15291,3.104789,25.07958,5.764715,9.022871
59.43421,286.2327,419.5228,849.9061,71.40767,3.180747,31.95736,5.802418,10.09017
65.46266,241.0439,371.1477,732.836,80.06644,3.313857,38.04456,5.781774,11.63207
72.44479,193.8192,314.9287,638.1003,79.50555,3.1546,43.0412,5.881719,13.61722
84.88532,150.7792,258.9599,562.9637,70.23417,2.903179,45.73702,5.796151,15.52062
105.0243,116.2418,206.8304,500.034,56.36842,2.770079,45.52428,5.709222,17.28961
136.6617,90.98008,160.8134,446.8396,42.99989,2.714281,42.66262,5.923104,18.46749
194.2219,73.65293,122.7101,403.4156,32.17539,2.829661,38.10403,6.348417,19.11742
288.6966,61.50649,91.81541,366.2811,24.60074,3.129004,32.8752,6.340054,19.22135
417.2461,57.40681,68.23766,338.8522,19.22909,3.377243,27.41989,6.071681,18.97405
576.2526,59.52667,51.72319,310.8125,15.5709,3.46761,22.8026,6.04602,18.8103
733.9913,67.74515,39.63725,288.0813,12.54616,3.44831,18.84196,6.203904,19.15614
850.322,81.87394,31.99472,270.4951,9.725451,3.38304,15.76826,6.282397,20.08272
893.9368,98.61383,26.78459,258.6544,7.826142,3.309286,13.32702,6.455486,21.63505
853.7929,115.4522,23.64142,252.2608,6.350166,3.263802,11.24204,6.789997,23.51385
753.7828,130.4464,21.65601,247.519,4.982484,3.344379,9.786749,6.973306,24.82384
619.1501,145.7861,20.48594,243.2125,4.415831,3.484976,8.838534,7.071455,24.92446
487.6246,166.2614,19.80416,235.3796,3.847193,3.623642,8.666138,7.339865,23.93708
377.4318,199.7203,19.13877,223.6284,3.575296,3.719646,8.995022,7.425816,22.34374
288.8795,247.4145,18.39489,207.5988,3.455241,3.717667,10.33789,7.376125,20.36209
225.1168,313.6683,17.56735,193.064,3.48862,3.702315,12.87463,7.363367,18.44623
176.4965,389.1389,16.64276,173.6677,3.588454,3.75392,16.19382,7.304309,17.15499
140.4815,460.6314,15.9537,153.6763,3.751782,4.008352,20.17152,7.334458,16.72159
114.973,514.4766,15.58227,132.2515,3.739919,4.182485,24.01876,7.394409,16.91518
96.24953,537.864,15.57147,118.064,3.408423,4.306268,27.28853,7.679415,17.38752
82.37054,528.1151,15.48883,104.6179,3.236841,4.338936,29.25183,7.900364,17.91045
72.6661,480.3499,15.14505,95.48843,3.356608,4.239144,29.35831,8.004449,18.36349
66.09438,413.5882,14.87272,92.3157,3.131902,4.096349,27.92444,8.134934,18.29815
60.32972,336.4424,14.24418,89.06698,2.941453,4.048629,25.17781,8.438853,17.80541
56.20058,263.3935,13.49442,88.20618,2.888821,4.088438,21.85735,8.566721,17.26848
53.33059,201.2151,12.60889,83.62271,2.395177,3.944924,18.46838,8.710627,16.96481
51.76586,153.1418,11.52071,79.71784,1.965468,4.0524,15.52121,8.676341,16.77191
51.11054,118.6473,10.37445,72.15937,1.878176,4.120253,13.58347,8.63104,16.84639
50.46559,93.0465,9.324431,66.09166,1.942546,4.133944,12.21991,8.536413,16.77295
49.98681,75.10793,8.428059,60.98553,1.699948,4.165104,11.22333,8.462414,16.26084
49.463,62.75708,7.699878,55.02108,1.632679,4.15645,10.45159,8.551094,15.55276
48.26474,55.84425,7.173871,50.10673,1.688832,4.15086,10.03259,8.663257,14.65419
47.2381,53.15846,6.869785,46.779,1.645679,3.99123,10.12903,8.799628,13.94152
45.91836,52.51194,6.33554,42.93246,1.690128,3.94805,10.47103,8.952331,13.49112
43.8287,52.17379,5.907325,39.15559,1.805041,4.056417,10.75099,8.999627,13.10708
41.44762,51.53517,5.751386,38.95017,1.975675,4.112218,11.00693,9.054257,12.75877
38.85939,49.42157,5.611378,36.01731,1.984782,4.117042,10.99107,9.232581,12.46577
36.52969,46.37421,5.607794,30.48141,1.907038,4.262892,11.36467,9.37533,12.02451
34.10759,42.91904,5.43786,25.69027,1.945446,4.366395,11.61239,9.427422,11.49154
32.17659,39.16275,5.475676,21.76491,1.758478,4.432394,11.81748,9.661885,11.24892
30.39674,35.26585,5.103655,17.54761,1.535066,4.460124,12.77357,9.980464,11.08215
28.3426,31.2589,4.418816,13.00164,1.116035,4.581704,14.2702,10.29223,11.00423
26.50493,27.71532,3.899379,10.64443,0.7931048,4.57366,16.3503,10.43434,10.81989
24.79611,24.58495,3.349383,7.824423,0.5837479,4.493664,18.95946,10.36252,11.06791
23.45582,22.08253,3.046306,10.08889,0.3720312,4.492517,22.45289,10.29899,11.45084
23.24781,20.4477,2.608295,13.76637,0.1893731,4.508422,26.05753,10.26419,11.85472
23.89458,19.07632,2.307561,16.52747,0.01672708,4.611327,29.41691,10.01781,12.23895
25.03092,18.27029,1.961514,18.81286,0.2848685,4.689852,32.97583,10.25843,12.5985
26.84605,18.06414,1.725585,20.01421,0.6553319,4.927089,36.38831,10.3142,12.91788
29.39212,18.01994,1.50912,18.31561,1.122346,5.085026,39.16604,10.44417,12.95457
31.93875,18.3257,1.597713,15.64171,1.696624,5.20522,40.40714,10.84098,13.01838
34.33753,18.35689,1.588115,13.79583,2.048543,5.16645,40.25391,11.21725,13.38384
37.31096,18.29766,1.454154,10.87938,2.199234,5.208398,38.98445,11.56365,13.71835
41.1431,17.79249,1.298203,9.556293,2.108037,5.260072,37.29801,11.70997,14.14242
45.92352,17.6417,1.074985,7.496868,2.299755,5.331097,35.71999,11.75175,14.55189
53.19389,17.07981,1.128956,7.110248,2.600978,5.558527,35.0556,11.81693,15.03849
62.04741,16.60165,0.9417534,8.477883,2.751431,5.808759,35.86486,11.85967,15.22451
74.24899,16.24509,0.8440892,11.74653,2.850918,5.834403,37.03376,12.02515,15.46836
92.29577,15.4949,0.5110267,13.92662,2.728009,5.604261,38.6898,12.48605,15.69691
121.8283,14.65626,0.1404282,15.46168,2.413177,5.442248,40.15587,12.7804,16.00834
174.3275,14.25404,0.1169854,15.68998,2.081213,5.48099,41.84013,13.11882,16.66718
254.7361,14.09589,0.4708615,10.59593,1.943179,5.659392,43.55724,13.186,17.85018
372.2964,13.651,0.9346759,4.010936,2.137191,5.919612,45.30043,13.54819,19.49603
525.265,13.42031,1.527299,1.067762,2.423993,6.229059,46.9375,13.63426,21.65834
680.1396,13.42027,1.852824,0.3419138,2.649213,6.316308,47.61222,13.99252,24.39272
797.8479,12.72231,1.905046,0.7058991,3.050075,6.139929,47.11734,14.63338,27.791
839.2326,12.52166,1.93069,7.396383,3.673001,5.789346,45.28709,15.34182,31.54701
795.6956,12.24021,2.160507,16.49211,4.951282,5.75638,43.41691,16.08764,35.30942
684.5204,12.62831,2.624599,24.15783,6.834346,5.856266,41.07797,16.46478,37.84502
542.1867,12.61701,2.974518,31.20961,9.22964,5.925371,39.71527,16.45768,38.8901
411.933,12.80308,3.591753,40.03671,11.27123,6.306589,39.58169,16.14879,38.01345
309.9469,12.66395,3.780781,46.60139,12.70943,6.602295,39.88049,16.05553,35.68579
239.1199,12.61596,3.968842,46.42271,12.96789,6.951586,40.85422,16.58713,32.91129
190.0919,12.90244,4.356505,45.93514,11.8673,7.253516,42.04577,17.09675,30.91728
156.0812,13.08943,4.805048,38.77194,9.972879,7.483265,43.32389,18.02081,30.02165
131.5601,13.63983,4.933017,31.34881,8.053815,7.605189,44.25226,18.70372,30.31288
115.2483,13.91941,4.867703,25.81972,6.05934,7.68946,44.65527,19.09118,31.61163
104.5347,14.15483,4.716675,23.20894,4.332447,7.692576,44.31493,19.72942,34.16422
96.67451,14.17913,4.419882,25.95846,3.493604,7.712491,43.05051,20.59256,36.65722
90.43344,14.31528,4.471488,28.96391,3.197137,7.94593,41.79005,21.92423,39.85462
84.73181,14.32282,4.551072,35.24212,3.099525,8.293861,40.75031,23.32916,43.25542
78.84357,14.11785,4.712627,39.00333,3.344952,8.467767,40.75165,24.83844,47.84895
72.6563,14.21073,4.916101,47.27239,3.699695,8.787118,42.15553,26.55762,53.93951
66.42449,14.11188,5.089603,53.61146,3.916756,9.229952,44.66291,27.77452,61.92522
59.58869,14.33087,4.990809,58.19257,4.035812,9.4086,48.39264,29.3726,71.76711
53.65704,14.78471,5.032607,62.98518,4.258396,9.715909,53.87132,31.0239,83.12717
48.57207,15.32479,5.467231,68.19201,4.374154,10.10917,61.20605,32.80399,96.62443
