A1: Ladder,A2: PTREseq_DNA_UTR,B2: PTREseq_RNA_UTR,C2: ABAB_DNA_UTR,D2: ABAB_RNA_UTR,E2: PTREseq_DNA_FULL,F2: PTREseq_RNA_FULL,G2: ABAB_DNA_FULL,H2: ABAB_RNA_FULL
0,2.764989,3.786084,17.05896,3.163411,3.540099,3.33424,4.367977,2.915293
0,3.189455,4.063802,17.85963,3.381976,3.918529,3.924501,4.645582,3.631372
0,3.55098,4.46964,18.54613,3.548491,4.463049,4.399675,4.992382,4.321177
0,3.990536,5.025869,20.40875,3.802692,4.905169,4.673104,5.356503,5.062681
0,5.035211,5.120957,23.5734,4.320352,5.42047,5.004158,5.419859,5.571877
0,5.50106,5.193959,27.12948,4.919999,6.017798,5.231542,5.546494,6.313734
0,6.144827,5.561525,28.90872,5.673049,6.453129,6.235485,5.96106,6.776872
0,6.560387,6.235224,32.97761,6.42274,6.986297,7.194312,6.653586,7.251668
0,7.021551,7.170519,37.14088,7.046217,7.848043,8.071526,7.280692,8.021533
0,7.017232,8.480809,40.61934,7.668004,8.824472,9.108852,8.060457,9.074821
0.01105626,7.079985,10.11439,45.03885,8.531044,10.02515,9.85257,9.347713,10.46776
1.122676,7.919662,11.58775,51.61775,9.641356,11.59275,10.97793,10.31323,11.85177
2.258439,9.134668,12.89381,58.99339,11.10324,13.64959,12.39378,11.70173,13.54757
3.769506,11.04216,14.53853,67.74241,12.83786,16.25902,14.68536,13.37872,15.8075
5.407392,13.14823,16.84105,78.6724,15.30718,19.4031,17.59937,15.41331,18.14954
7.397263,15.96508,20.04275,94.10217,18.29328,23.46179,20.89081,18.01722,21.49024
10.27335,18.49847,24.00831,112.4798,22.16387,28.36215,24.88559,21.25486,25.29913
13.4751,22.35189,28.94352,134.415,27.2056,34.35318,30.53031,25.61662,30.42562
17.71925,27.31817,35.78357,162.3837,33.22434,41.51128,37.09188,30.76055,36.73467
23.21367,33.85228,43.51908,198.0409,41.02076,50.25841,45.07631,37.18503,44.49552
30.09028,41.82123,53.32364,245.2702,50.13503,61.53942,55.39841,44.53726,54.36236
38.56758,51.6203,65.87361,299.1343,61.21114,74.66651,67.47286,53.81091,66.56265
49.15787,64.006,80.68797,365.2821,75.37854,90.94872,82.30772,64.90756,80.61983
63.7197,80.28493,98.9761,461.1316,92.75937,111.0651,101.0532,79.0685,97.44414
81.55048,101.2141,121.0343,580.5848,113.8414,135.0101,124.4906,98.06067,118.2458
104.8772,127.168,147.7689,727.9298,139.255,163.3442,152.0437,120.9259,144.2076
133.2149,156.2874,178.9865,922.4402,168.4551,196.8683,187.6691,149.4985,174.4795
168.8747,191.4157,215.4674,1149.146,204.3763,235.5426,229.5972,184.6219,209.5646
