reporter	best_category	count
7mera1x4_3	spacer_not_cloned	2
7mera1x4_4	PCR_chimera	57
7mera1x4_4	full_length	1
7mera1x4_5	PCR_chimera	30
7mera1x4_5	ambiguous_deletion	5
7mera1x4_5	spacer_not_cloned	4
7mera1x4_5	full_length	2
7mera1x4_6	PCR_chimera	180
7mera1x4_6	full_length	37
7mera1x4_7	ambiguous_deletion	3
7mera1x4_7	spacer_not_cloned	2
7mera1x4_7	PCR_chimera	1
7mera1x4_7	full_length	30
7mera1x4_8	full_length	27
7mera1x4_8	PCR_chimera	9
7mera1x4_8	ambiguous_deletion	1
7mera1x4_8	spacer_not_cloned	1
7mera1x4_9	spacer_not_cloned	1
7mera1x4_9	full_length	36
7mera1x4_9	ambiguous_deletion	18
7mera1x4_9	PCR_chimera	231
7merm8x1_1	full_length	37
7merm8x1_1	PCR_chimera	33
7merm8x1_1	ambiguous_deletion	3
7merm8x1_1	spacer_not_cloned	1
7merm8x1_10	full_length	103
7merm8x1_10	PCR_chimera	37
7merm8x1_10	ambiguous_deletion	3
7merm8x1_10	spacer_not_cloned	2
7merm8x1_2	full_length	63
7merm8x1_2	PCR_chimera	37
7merm8x1_2	ambiguous_deletion	33
7merm8x1_2	spacer_not_cloned	1
7merm8x1_3	full_length	7
7merm8x1_3	PCR_chimera	25
7merm8x1_4	PCR_chimera	35
7merm8x1_4	full_length	44
7merm8x1_4	ambiguous_deletion	45
7merm8x1_5	spacer_not_cloned	5
7merm8x1_5	PCR_chimera	39
7merm8x1_5	ambiguous_deletion	15
7merm8x1_5	full_length	13
7merm8x1_6	PCR_chimera	50
7merm8x1_6	full_length	38
7merm8x1_7	PCR_chimera	3044
7merm8x1_7	ambiguous_deletion	34
7merm8x1_7	full_length	21
7merm8x1_8	ambiguous_deletion	1
7merm8x1_8	full_length	18
7merm8x1_8	PCR_chimera	60
7merm8x1_9	PCR_chimera	53
7merm8x1_9	full_length	9
7merm8x1_9	ambiguous_deletion	6
7merm8x2_1	spacer_not_cloned	1
7merm8x2_1	PCR_chimera	238
7merm8x2_1	full_length	14
7merm8x2_1	ambiguous_deletion	2
7merm8x2_10	PCR_chimera	114
7merm8x2_10	full_length	12
7merm8x2_2	PCR_chimera	88
7merm8x2_2	full_length	44
7merm8x2_2	ambiguous_deletion	5
7merm8x2_2	spacer_not_cloned	2
7merm8x2_3	PCR_chimera	110
7merm8x2_3	full_length	30
7merm8x2_3	spacer_not_cloned	2
7merm8x2_3	ambiguous_deletion	1
7merm8x2_4	spacer_not_cloned	2
7merm8x2_4	PCR_chimera	4
7merm8x2_4	full_length	19
7merm8x2_4	ambiguous_deletion	4
7merm8x2_5	PCR_chimera	38
7merm8x2_5	full_length	1
7merm8x2_6	PCR_chimera	456
7merm8x2_6	full_length	56
7merm8x2_7	ambiguous_deletion	57
7merm8x2_7	PCR_chimera	38
7merm8x2_8	full_length	1
7merm8x2_8	spacer_not_cloned	2
7merm8x2_8	ambiguous_deletion	78
7merm8x2_8	PCR_chimera	13
7merm8x2_9	full_length	1
7merm8x2_9	PCR_chimera	82
7merm8x4_1	PCR_chimera	4
7merm8x4_1	full_length	2
7merm8x4_1	ambiguous_deletion	1
7merm8x4_10	full_length	21
7merm8x4_10	PCR_chimera	7
7merm8x4_10	ambiguous_deletion	1
7merm8x4_10	spacer_not_cloned	1
7merm8x4_2	full_length	3
7merm8x4_2	PCR_chimera	43
7merm8x4_3	PCR_chimera	10
7merm8x4_3	full_length	5
7merm8x4_3	ambiguous_deletion	2
7merm8x4_4	PCR_chimera	48
7merm8x4_4	full_length	7
7merm8x4_4	ambiguous_deletion	4
7merm8x4_4	spacer_not_cloned	3
7merm8x4_5	spacer_not_cloned	1
7merm8x4_5	full_length	4
7merm8x4_5	PCR_chimera	9
7merm8x4_5	ambiguous_deletion	5
7merm8x4_6	PCR_chimera	50
7merm8x4_6	full_length	21
7merm8x4_6	ambiguous_deletion	3
7merm8x4_6	spacer_not_cloned	3
7merm8x4_7	full_length	14
7merm8x4_7	PCR_chimera	13
7merm8x4_8	spacer_not_cloned	2
7merm8x4_8	ambiguous_deletion	1
7merm8x4_8	PCR_chimera	211
7merm8x4_8	full_length	31
7merm8x4_9	PCR_chimera	856
7merm8x4_9	ambiguous_deletion	52
7merm8x4_9	full_length	30
7merm8x4_9	spacer_not_cloned	6
7pcx1_1	PCR_chimera	58
7pcx1_1	full_length	24
7pcx1_1	ambiguous_deletion	10
7pcx1_1	spacer_not_cloned	1
7pcx1_10	spacer_not_cloned	4
7pcx1_10	PCR_chimera	62
7pcx1_10	full_length	20
7pcx1_2	PCR_chimera	74
7pcx1_2	full_length	31
7pcx1_2	spacer_not_cloned	6
7pcx1_2	ambiguous_deletion	1
7pcx1_3	full_length	62
7pcx1_3	ambiguous_deletion	54
7pcx1_3	PCR_chimera	32
7pcx1_3	spacer_not_cloned	1
7pcx1_4	PCR_chimera	227
7pcx1_4	full_length	19
7pcx1_5	full_length	144
7pcx1_5	PCR_chimera	70
7pcx1_5	spacer_not_cloned	7
7pcx1_6	full_length	36
7pcx1_6	PCR_chimera	25
7pcx1_6	spacer_not_cloned	1
7pcx1_7	ambiguous_deletion	2
7pcx1_7	spacer_not_cloned	1
7pcx1_7	full_length	70
7pcx1_7	PCR_chimera	21
7pcx1_8	full_length	24
7pcx1_8	PCR_chimera	7
7pcx1_8	spacer_not_cloned	6
7pcx1_8	ambiguous_deletion	4
7pcx1_9	PCR_chimera	59
7pcx1_9	full_length	6
7pcx2_1	spacer_not_cloned	1
7pcx2_1	ambiguous_deletion	6
7pcx2_1	PCR_chimera	184
7pcx2_1	full_length	31
7pcx2_10	PCR_chimera	20
7pcx2_10	ambiguous_deletion	4
7pcx2_10	full_length	1
7pcx2_2	full_length	39
7pcx2_2	PCR_chimera	3
7pcx2_3	PCR_chimera	89
7pcx2_3	full_length	4
7pcx2_4	spacer_not_cloned	2
7pcx2_4	ambiguous_deletion	18
7pcx2_4	PCR_chimera	37
7pcx2_4	full_length	45
7pcx2_5	PCR_chimera	73
7pcx2_5	full_length	2
7pcx2_6	full_length	2
7pcx2_6	PCR_chimera	35
7pcx2_6	ambiguous_deletion	7
7pcx2_7	spacer_not_cloned	1
7pcx2_7	PCR_chimera	110
7pcx2_7	ambiguous_deletion	30
7pcx2_7	full_length	23
7pcx2_8	full_length	10
7pcx2_8	PCR_chimera	109
7pcx2_9	full_length	47
7pcx2_9	PCR_chimera	41
7pcx2_9	ambiguous_deletion	3
7pcx2_9	spacer_not_cloned	2
7pcx4_1	PCR_chimera	11
7pcx4_1	spacer_not_cloned	2
7pcx4_1	full_length	5
7pcx4_10	full_length	5
7pcx4_10	spacer_not_cloned	1
7pcx4_11	PCR_chimera	57
7pcx4_11	full_length	18
7pcx4_11	ambiguous_deletion	6
7pcx4_11	spacer_not_cloned	4
7pcx4_12	ambiguous_deletion	7
7pcx4_12	PCR_chimera	12
7pcx4_12	full_length	31
7pcx4_13	PCR_chimera	12
7pcx4_13	full_length	9
7pcx4_13	spacer_not_cloned	1
7pcx4_14	PCR_chimera	170
7pcx4_14	ambiguous_deletion	9
7pcx4_14	full_length	5
7pcx4_14	spacer_not_cloned	2
7pcx4_15	full_length	3
7pcx4_15	PCR_chimera	15
7pcx4_16	full_length	33
7pcx4_16	PCR_chimera	8
7pcx4_17	full_length	20
7pcx4_17	PCR_chimera	8
7pcx4_17	ambiguous_deletion	5
7pcx4_18	PCR_chimera	5
7pcx4_19	ambiguous_deletion	1
7pcx4_19	spacer_not_cloned	2
7pcx4_19	splicedambi-ACCTCA_184_TCGCAA_284	6
7pcx4_19	full_length	8
7pcx4_19	PCR_chimera	9
7pcx4_2	spacer_not_cloned	2
7pcx4_2	PCR_chimera	45
7pcx4_2	full_length	14
7pcx4_2	ambiguous_deletion	4
7pcx4_20	PCR_chimera	18
7pcx4_20	full_length	4
7pcx4_21	full_length	24
7pcx4_21	PCR_chimera	12
7pcx4_21	ambiguous_deletion	1
7pcx4_22	full_length	5
7pcx4_23	PCR_chimera	104
7pcx4_24	PCR_chimera	76
7pcx4_24	full_length	18
7pcx4_24	ambiguous_deletion	6
7pcx4_24	spacer_not_cloned	2
7pcx4_25	spacer_not_cloned	7
7pcx4_25	PCR_chimera	28
7pcx4_25	full_length	7
7pcx4_26	PCR_chimera	7
7pcx4_26	full_length	1
7pcx4_27	PCR_chimera	45
7pcx4_27	full_length	2
7pcx4_27	spacer_not_cloned	1
7pcx4_28	ambiguous_deletion	377
7pcx4_28	PCR_chimera	77
7pcx4_28	spacer_not_cloned	63
7pcx4_28	full_length	4
7pcx4_29	spacer_not_cloned	2
7pcx4_29	PCR_chimera	31
7pcx4_29	full_length	4
7pcx4_3	ambiguous_deletion	11
7pcx4_3	PCR_chimera	4
7pcx4_3	full_length	1
7pcx4_30	PCR_chimera	65
7pcx4_30	full_length	9
7pcx4_30	ambiguous_deletion	4
7pcx4_31	PCR_chimera	70
7pcx4_31	full_length	11
7pcx4_31	ambiguous_deletion	4
7pcx4_32	PCR_chimera	13
7pcx4_32	full_length	20
7pcx4_33	ambiguous_deletion	5
7pcx4_33	full_length	31
7pcx4_33	PCR_chimera	11
7pcx4_34	PCR_chimera	114
7pcx4_34	full_length	38
7pcx4_34	ambiguous_deletion	36
7pcx4_34	splicedambi-ACCTCA_217_TCGCAA_284	6
7pcx4_35	PCR_chimera	195
7pcx4_35	full_length	16
7pcx4_35	ambiguous_deletion	5
7pcx4_36	ambiguous_deletion	22
7pcx4_36	PCR_chimera	673
7pcx4_36	full_length	50
7pcx4_38	ambiguous_deletion	65
7pcx4_38	PCR_chimera	44
7pcx4_38	full_length	11
7pcx4_38	spacer_not_cloned	1
7pcx4_39	full_length	12
7pcx4_39	ambiguous_deletion	4
7pcx4_39	spacer_not_cloned	4
7pcx4_39	PCR_chimera	3
7pcx4_4	full_length	7
7pcx4_4	PCR_chimera	54
7pcx4_4	ambiguous_deletion	8
7pcx4_40	PCR_chimera	11
7pcx4_40	full_length	4
7pcx4_40	spacer_not_cloned	2
7pcx4_41	PCR_chimera	19
7pcx4_41	full_length	1
7pcx4_42	PCR_chimera	215
7pcx4_42	full_length	22
7pcx4_43	full_length	24
7pcx4_43	PCR_chimera	9
7pcx4_43	spacer_not_cloned	4
7pcx4_43	ambiguous_deletion	2
7pcx4_44	PCR_chimera	13
7pcx4_44	full_length	13
7pcx4_44	ambiguous_deletion	12
7pcx4_45	spacer_not_cloned	2
7pcx4_45	ambiguous_deletion	1
7pcx4_45	full_length	51
7pcx4_45	PCR_chimera	141
7pcx4_46	full_length	24
7pcx4_46	PCR_chimera	77
7pcx4_46	ambiguous_deletion	34
7pcx4_47	full_length	16
7pcx4_47	spacer_not_cloned	3
7pcx4_47	PCR_chimera	1
7pcx4_48	full_length	2
7pcx4_48	spacer_not_cloned	2
7pcx4_48	PCR_chimera	63
7pcx4_48	ambiguous_deletion	8
7pcx4_49	PCR_chimera	81
7pcx4_49	ambiguous_deletion	13
7pcx4_5	full_length	17
7pcx4_5	PCR_chimera	15
7pcx4_50	PCR_chimera	149
7pcx4_50	spacer_not_cloned	7
7pcx4_50	ambiguous_deletion	5
7pcx4_50	full_length	2
7pcx4_6	spacer_not_cloned	1
7pcx4_6	full_length	41
7pcx4_6	ambiguous_deletion	42
7pcx4_6	PCR_chimera	2
7pcx4_7	PCR_chimera	50
7pcx4_7	full_length	18
7pcx4_7	ambiguous_deletion	2
7pcx4_8	ambiguous_deletion	61
7pcx4_8	PCR_chimera	23
7pcx4_8	spacer_not_cloned	2
7pcx4_9	PCR_chimera	13
7pcx4_9	full_length	4
AAAA_1	ambiguous_deletion	2
AAAA_1	PCR_chimera	17
AAAA_1	full_length	10
AAAA_10	PCR_chimera	156
AAAA_10	full_length	45
AAAA_10	ambiguous_deletion	1
