reporter	best_category	count
7merm8x1_7	PCR_chimera	472
7merm8x1_7	full_length	247
7merm8x1_7	ambiguous_deletion	38
7merm8x1_8	full_length	123
7merm8x1_8	PCR_chimera	8
7merm8x1_9	full_length	123
7merm8x1_9	PCR_chimera	4
7merm8x2_1	full_length	224
7merm8x2_1	PCR_chimera	89
7merm8x2_1	ambiguous_deletion	1
7merm8x2_10	full_length	135
7merm8x2_10	PCR_chimera	27
7merm8x2_10	ambiguous_deletion	11
7merm8x2_2	full_length	180
7merm8x2_2	ambiguous_deletion	17
7merm8x2_2	PCR_chimera	12
7merm8x2_2	PRE-SPACER_mispriming	1
7merm8x2_3	full_length	226
7merm8x2_3	PCR_chimera	3
7merm8x2_4	full_length	247
7merm8x2_4	PCR_chimera	34
7merm8x2_5	PCR_chimera	198
7merm8x2_5	full_length	120
7merm8x2_5	ambiguous_deletion	1
7merm8x2_6	PCR_chimera	207
7merm8x2_6	full_length	129
7merm8x2_7	full_length	107
7merm8x2_7	ambiguous_deletion	100
7merm8x2_7	PCR_chimera	59
7merm8x2_8	full_length	135
7merm8x2_8	ambiguous_deletion	108
7merm8x2_9	full_length	79
7merm8x2_9	PCR_chimera	15
7merm8x2_9	ambiguous_deletion	14
7merm8x4_1	full_length	1
7merm8x4_10	full_length	11
7merm8x4_10	PCR_chimera	4
7merm8x4_10	ambiguous_deletion	2
7merm8x4_2	PCR_chimera	91
7merm8x4_2	ambiguous_deletion	5
7merm8x4_3	full_length	33
7merm8x4_4	full_length	35
7merm8x4_4	PCR_chimera	21
7merm8x4_5	ambiguous_deletion	150
7merm8x4_5	full_length	49
7merm8x4_5	PCR_chimera	23
7merm8x4_5	PRE-SPACER_mispriming	1
7merm8x4_6	PCR_chimera	36
7merm8x4_6	full_length	31
7merm8x4_6	ambiguous_deletion	3
7merm8x4_7	PCR_chimera	8
7merm8x4_7	full_length	2
7merm8x4_7	ambiguous_deletion	1
7merm8x4_8	PCR_chimera	96
7merm8x4_8	full_length	42
7merm8x4_9	PCR_chimera	603
7merm8x4_9	ambiguous_deletion	46
7merm8x4_9	full_length	8
7pcx1_1	full_length	344
7pcx1_1	PCR_chimera	74
7pcx1_1	ambiguous_deletion	42
7pcx1_10	full_length	250
7pcx1_10	PCR_chimera	27
7pcx1_10	ambiguous_deletion	6
7pcx1_2	full_length	225
7pcx1_2	PCR_chimera	87
7pcx1_3	full_length	257
7pcx1_3	PCR_chimera	30
7pcx1_4	PCR_chimera	328
7pcx1_4	full_length	324
7pcx1_4	ambiguous_deletion	4
7pcx1_5	full_length	468
7pcx1_5	PCR_chimera	33
7pcx1_5	ambiguous_deletion	7
7pcx1_6	full_length	113
7pcx1_6	PCR_chimera	18
7pcx1_7	full_length	258
7pcx1_7	PCR_chimera	1
7pcx1_8	full_length	302
7pcx1_8	ambiguous_deletion	18
7pcx1_8	PRE-SPACER_mispriming	1
7pcx1_9	PCR_chimera	318
7pcx1_9	full_length	226
7pcx2_1	full_length	221
7pcx2_1	PCR_chimera	65
7pcx2_1	ambiguous_deletion	4
7pcx2_10	full_length	207
7pcx2_10	PCR_chimera	38
7pcx2_2	full_length	214
7pcx2_2	PCR_chimera	4
7pcx2_3	full_length	159
7pcx2_3	PCR_chimera	35
7pcx2_3	ambiguous_deletion	5
7pcx2_4	full_length	152
7pcx2_4	ambiguous_deletion	20
7pcx2_4	PCR_chimera	11
7pcx2_5	PCR_chimera	561
7pcx2_5	full_length	353
7pcx2_5	ambiguous_deletion	22
7pcx2_6	full_length	188
7pcx2_6	ambiguous_deletion	12
7pcx2_6	PCR_chimera	10
7pcx2_7	full_length	286
7pcx2_7	PCR_chimera	91
7pcx2_7	ambiguous_deletion	45
7pcx2_8	full_length	195
7pcx2_8	PCR_chimera	174
7pcx2_9	full_length	271
7pcx2_9	PCR_chimera	71
7pcx4_1	full_length	3
7pcx4_1	PCR_chimera	2
7pcx4_10	full_length	35
7pcx4_10	PCR_chimera	10
7pcx4_11	PCR_chimera	23
7pcx4_11	full_length	9
7pcx4_12	full_length	155
7pcx4_12	PCR_chimera	5
